REF_DATE,GEO,DGUID,Census year (2),Housing indicators (9),Coordinate,Tenure (4):Total - Tenure[1],Symbol,Tenure (4):Owner[2],Symbol,Tenure (4):Renter[3],Symbol,"Tenure (4):Dwelling provided by the local government, First Nation or Indian band[4]",Symbol
2021,Northwest Territories,2021A000261,2021,Percent of households in core housing need,164.1.9,13.2,,8.2,,18.9,,0.0,
2021,Nunavut,2021A000262,2021,Total - Housing indicators,166.1.1,9925,,1905,,8020,,0,
2021,Nunavut,2021A000262,2021,Adequacy: inadequate housing,166.1.2,2645,,455,,2190,,0,
2021,Nunavut,2021A000262,2021,Percent of households in inadequate housing,166.1.3,26.6,,23.9,,27.3,,0.0,
2021,Nunavut,2021A000262,2021,Suitability: unsuitable housing,166.1.4,3310,,280,,3030,,0,
2021,Nunavut,2021A000262,2021,Percent of households in unsuitable housing,166.1.5,33.4,,14.7,,37.8,,0.0,
2021,Nunavut,2021A000262,2021,Affordability: unaffordable housing,166.1.6,560,,140,,420,,0,
2021,Nunavut,2021A000262,2021,Percent of households in unaffordable housing,166.1.7,5.7,,7.3,,5.2,,0.0,
2021,Nunavut,2021A000262,2021,Core housing need: in core housing need,166.1.8,3220,,275,,2950,,0,
2021,Nunavut,2021A000262,2021,Percent of households in core housing need,166.1.9,32.9,,14.6,,37.3,,0.0,
